,Campaign Title,Community Name,Ethereum Address,Staked Tokens,Share of Staked Tokens,PAN Donated,Donation Count,Fair Share Score from PAN Donations,Total Quarterly Fundraising,Recurring Event Attendance,Fair Share Score from Proof of Community,Coalition,Coalition Bonus,Leadership,Leadership Bonus,Fair Share Score,Fair Share,Utilized Fair Share Score,Utilized Fair Share,Subsidy Points,Matching Progress,,Share of Subsidy,Target Staking Share,Maximum Staking Total,Remaining PAN to Stake,"Estimated Subsidy
(PAN)","Estimated Funding
(PAN)","Estimated Funding
(USD)",Estimated Multiplier,Estimated Yield (APY)
,DeFi Safety,DeFi Safety,0xe7E2E1de02CDc8dC307eA4CD237C0a24CF52f2AA,"10,596.56",0.17%,228.19,4,17.60,,,11.18,,0.00,,0.00,28.78,0.1375%,28.78,0.6807%,7.02,24.40%,,0.38%,0.6807%,"43,650.22","33,053.66","4,447.45","4,675.64",$484.64,20.49x,140.18%
,1Hive,1Hive,0x5b0F8D8f47E3fDF7eE1c337AbCA19dBba98524e6,"10,212.26",0.16%,"1,245.00",18,87.86,"$2,000",75,387.30,,0.00,,0.00,475.16,2.2694%,32.81,0.7760%,6.77,1.42%,,0.37%,10.1737%,"721,383.69","711,171.42","4,286.16","5,531.16",$573.32,4.44x,140.18%
,IRL Art,IRL Art,0x1253594843798Ff0fcd7Fa221B820C2d3cA58FD5,"10,069.82",0.16%,580.00,2,20.16,"$40,000",5000,"14,142.14",,0.00,,0.00,"14,162.29",67.6392%,10.71,0.2534%,6.67,0.05%,,0.36%,77.0541%,"21,388,981.26","21,378,911.43","4,226.37","4,806.37",$498.19,8.29x,140.18%
,MANA VOX,MANA VOX,0xe555c65c7BDB142AEbB1842Fbaa6427626573C87,"9,753.48",0.15%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,11.18,0.2644%,6.46,57.82%,,0.35%,0.2644%,"16,888.12","7,134.64","4,093.60","4,093.60",$424.31,,140.18%
,rekt.news ,rekt.news,0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C,"7,786.12",0.12%,473.19,8,36.85,,,11.18,,0.00,,0.00,48.03,0.2294%,25.53,0.6038%,5.16,10.74%,,0.28%,1.1299%,"72,814.04","65,027.91","3,267.89","3,741.08",$387.77,7.91x,140.18%
,Marma J Foundation,Marma J Foundation,0x549Adf7B383A1645F26a2AcFE09c5304B679A532,"7,559.16",0.12%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,11.18,0.2644%,5.01,44.81%,,0.27%,0.2644%,"16,893.94","9,334.78","3,172.63","3,172.63",$328.85,,140.18%
,Prime Rating,PrimeDAO,0x6030dB952f1aEeFA27d84D40D2f64c6216f64b0e,"4,224.29",0.07%,128.19,3,11.16,,,11.18,,0.00,,0.00,22.34,0.1067%,13.86,0.3278%,2.80,12.53%,,0.15%,0.5274%,"33,798.31","29,574.02","1,772.96","1,901.15",$197.06,14.83x,140.18%
,DAOhaus,DAOhaus,,"4,084.74",0.06%,0.00,0,0.00,,,11.18,Future of Work,1.68,,0.00,12.86,0.0614%,12.86,0.3041%,2.71,21.06%,,0.15%,0.3041%,"19,446.36","15,361.62","1,714.39","1,714.39",$177.70,,140.18%
,Barrio to the Blockchain ,Guerrilla Music,0x97b8fdfACf37dd68376198b7FCFFeC3c0846f593,"2,726.48",0.04%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,8.95,0.2116%,1.81,16.16%,,0.10%,0.2643%,"16,897.80","14,171.32","1,144.32","1,144.32",$118.61,,140.18%
,Umbra,Umbra,0x57EA12A3A8E441f5FE7B1F3Af1121097b7d3B6A8,"2,273.98",0.04%,280.19,6,24.18,,,11.18,,0.00,,0.00,35.36,0.1689%,7.45,0.1763%,1.51,4.26%,,0.08%,0.8308%,"53,427.84","51,153.86",954.40,"1,234.59",$127.97,4.41x,140.18%
